date,campaign_id,campaign_name,channel,funnel_stage,spend,impressions,clicks,conversions,new_customers,revenue,gross_profit
2025-04-03,C001,Google Search - High Intent,Google Search,Conversion,1386.61,48234,2383,185.6,167.1,18121.47,10510.46
2025-04-04,C001,Google Search - High Intent,Google Search,Conversion,1559.69,56999,2526,226.4,205.7,22402.69,12993.56
2025-04-05,C001,Google Search - High Intent,Google Search,Conversion,1393.37,45441,2242,231.8,214.6,22621.9,13120.7
2025-04-06,C001,Google Search - High Intent,Google Search,Conversion,1133.3,42830,1987,141.9,127.2,12268.71,7115.85
2025-04-07,C001,Google Search - High Intent,Google Search,Conversion,1456.41,50070,2639,233.9,208.7,25381.18,14721.09
2025-04-08,C001,Google Search - High Intent,Google Search,Conversion,1422.58,50492,2322,188.3,160.1,18625.81,10802.97
2025-04-09,C001,Google Search - High Intent,Google Search,Conversion,1703.32,61236,3148,268.1,235.2,27085.53,15709.6
2025-04-10,C001,Google Search - High Intent,Google Search,Conversion,1405.27,53519,2607,232.5,208.4,20809.71,12069.63
2025-04-11,C001,Google Search - High Intent,Google Search,Conversion,1578.16,58361,2729,259.0,209.3,24233.72,14055.56
2025-04-12,C001,Google Search - High Intent,Google Search,Conversion,1457.89,49436,1897,168.8,155.3,16638.03,9650.06
2025-04-13,C001,Google Search - High Intent,Google Search,Conversion,1411.89,50380,2535,176.9,154.7,17645.08,10234.14
2025-04-14,C001,Google Search - High Intent,Google Search,Conversion,1425.24,56370,2934,278.5,248.8,28253.15,16386.83
2025-04-15,C001,Google Search - High Intent,Google Search,Conversion,1410.1,50239,2562,286.7,250.3,27426.04,15907.11
2025-04-16,C001,Google Search - High Intent,Google Search,Conversion,1585.85,61391,2878,306.6,257.1,29055.93,16852.44
2025-04-17,C001,Google Search - High Intent,Google Search,Conversion,1254.24,46959,2425,191.8,161.3,18854.51,10935.62
2025-04-18,C001,Google Search - High Intent,Google Search,Conversion,1384.52,45131,2329,225.1,203.0,20903.39,12123.97
2025-04-19,C001,Google Search - High Intent,Google Search,Conversion,1183.11,41650,2161,181.5,153.0,17670.83,10249.08
2025-04-20,C001,Google Search - High Intent,Google Search,Conversion,1429.12,53151,2557,214.5,189.5,20094.21,11654.64
2025-04-21,C001,Google Search - High Intent,Google Search,Conversion,1210.94,43806,2236,193.1,166.2,20176.18,11702.18
2025-04-22,C001,Google Search - High Intent,Google Search,Conversion,1710.85,68888,3256,306.2,290.9,29140.2,16901.31
2025-04-23,C001,Google Search - High Intent,Google Search,Conversion,1279.69,46025,2253,190.8,154.6,16561.97,9605.94
2025-04-24,C001,Google Search - High Intent,Google Search,Conversion,1413.96,48252,2239,210.4,191.0,19733.34,11445.34
2025-04-25,C001,Google Search - High Intent,Google Search,Conversion,1628.6,55140,2509,208.3,194.0,19960.42,11577.04
2025-04-26,C001,Google Search - High Intent,Google Search,Conversion,1358.3,47496,2188,215.9,175.4,19276.91,11180.61
2025-04-27,C001,Google Search - High Intent,Google Search,Conversion,1157.73,48132,2465,224.3,204.5,24868.79,14423.9
2025-04-28,C001,Google Search - High Intent,Google Search,Conversion,1351.12,47205,2474,239.2,217.7,22157.84,12851.54
2025-04-29,C001,Google Search - High Intent,Google Search,Conversion,1298.1,51368,2540,250.3,199.0,25123.47,14571.61
2025-04-30,C001,Google Search - High Intent,Google Search,Conversion,1735.32,63611,3179,282.7,228.6,27843.4,16149.17
2025-05-01,C001,Google Search - High Intent,Google Search,Conversion,1278.04,44749,1992,198.3,155.5,20734.31,12025.9
2025-05-02,C001,Google Search - High Intent,Google Search,Conversion,1219.13,46543,2614,270.0,217.1,24345.57,14120.43
2025-05-03,C001,Google Search - High Intent,Google Search,Conversion,1226.42,42502,2012,169.7,151.9,14656.27,8500.64
2025-05-04,C001,Google Search - High Intent,Google Search,Conversion,1392.63,49411,2258,230.9,197.8,21239.79,12319.08
2025-05-05,C001,Google Search - High Intent,Google Search,Conversion,1257.14,44818,2487,312.4,293.7,31508.82,18275.11
2025-05-06,C001,Google Search - High Intent,Google Search,Conversion,1258.3,49003,2292,234.5,203.4,22657.18,13141.17
2025-05-07,C001,Google Search - High Intent,Google Search,Conversion,1461.2,51924,2213,219.7,216.7,20989.78,12174.07
2025-05-08,C001,Google Search - High Intent,Google Search,Conversion,1315.79,48518,2430,224.0,195.1,22934.97,13302.28
2025-05-09,C001,Google Search - High Intent,Google Search,Conversion,1387.63,49922,2699,259.8,229.6,24052.79,13950.62
2025-05-10,C001,Google Search - High Intent,Google Search,Conversion,1127.96,35832,1586,155.0,141.0,15520.55,9001.92
2025-05-11,C001,Google Search - High Intent,Google Search,Conversion,1368.88,44483,2237,223.8,190.5,22313.38,12941.76
2025-05-12,C001,Google Search - High Intent,Google Search,Conversion,1490.02,46980,2136,189.5,161.4,18666.73,10826.7
2025-05-13,C001,Google Search - High Intent,Google Search,Conversion,1725.25,67771,3129,276.5,234.3,24892.89,14437.87
2025-05-14,C001,Google Search - High Intent,Google Search,Conversion,1442.8,52892,2346,198.3,180.7,18892.31,10957.54
2025-05-15,C001,Google Search - High Intent,Google Search,Conversion,1475.42,53029,2638,272.9,255.4,26986.63,15652.24
2025-05-16,C001,Google Search - High Intent,Google Search,Conversion,1552.38,56822,2343,237.4,206.2,23126.98,13413.65
2025-05-17,C001,Google Search - High Intent,Google Search,Conversion,1256.39,49494,2348,214.4,173.2,20176.48,11702.36
2025-05-18,C001,Google Search - High Intent,Google Search,Conversion,1437.49,49173,2330,225.2,203.7,20551.04,11919.6
2025-05-19,C001,Google Search - High Intent,Google Search,Conversion,1275.72,48318,2862,266.7,229.3,24138.16,14000.13
2025-05-20,C001,Google Search - High Intent,Google Search,Conversion,1283.4,42785,1925,197.8,165.7,17755.87,10298.41
2025-05-21,C001,Google Search - High Intent,Google Search,Conversion,1395.84,43949,1814,179.3,159.0,16991.67,9855.17
2025-05-22,C001,Google Search - High Intent,Google Search,Conversion,1567.14,54433,2749,299.4,262.5,27015.47,15668.97
2025-05-23,C001,Google Search - High Intent,Google Search,Conversion,1425.23,49163,2080,197.8,187.1,19282.76,11184.0
2025-05-24,C001,Google Search - High Intent,Google Search,Conversion,1518.26,52686,2694,261.4,228.3,29867.89,17323.38
2025-05-25,C001,Google Search - High Intent,Google Search,Conversion,1534.28,53173,2480,264.0,246.8,24493.23,14206.07
2025-05-26,C001,Google Search - High Intent,Google Search,Conversion,1258.47,44198,2080,216.7,203.7,21269.62,12336.38
2025-05-27,C001,Google Search - High Intent,Google Search,Conversion,1731.26,57878,2941,373.7,341.9,36522.04,21182.78
2025-05-28,C001,Google Search - High Intent,Google Search,Conversion,1537.66,61132,2643,269.3,242.5,27239.39,15798.85
2025-05-29,C001,Google Search - High Intent,Google Search,Conversion,1684.62,61285,2809,293.0,256.1,25965.17,15059.8
2025-05-30,C001,Google Search - High Intent,Google Search,Conversion,1213.06,45665,1967,197.9,180.0,17626.34,10223.28
2025-05-31,C001,Google Search - High Intent,Google Search,Conversion,1095.84,36725,1912,248.2,241.7,23467.75,13611.3
2025-06-01,C001,Google Search - High Intent,Google Search,Conversion,1226.62,44127,2093,224.8,185.2,23235.58,13476.63
2025-06-02,C001,Google Search - High Intent,Google Search,Conversion,1401.3,54460,2603,223.9,199.8,22631.35,13126.18
2025-06-03,C001,Google Search - High Intent,Google Search,Conversion,1514.18,55685,2497,185.6,170.8,18710.41,10852.04
2025-06-04,C001,Google Search - High Intent,Google Search,Conversion,1518.13,54442,2809,246.9,209.7,23388.95,13565.59
2025-06-05,C001,Google Search - High Intent,Google Search,Conversion,1693.82,55663,2912,251.3,209.3,26354.16,15285.42
2025-06-06,C001,Google Search - High Intent,Google Search,Conversion,1155.07,38156,1736,175.3,163.8,16336.32,9475.07
2025-06-07,C001,Google Search - High Intent,Google Search,Conversion,1106.1,41233,1829,174.3,153.2,16118.63,9348.8
2025-06-08,C001,Google Search - High Intent,Google Search,Conversion,1334.98,47870,2256,196.1,169.0,20355.2,11806.02
2025-06-09,C001,Google Search - High Intent,Google Search,Conversion,1604.95,60446,3165,308.9,304.5,27988.72,16233.46
2025-06-10,C001,Google Search - High Intent,Google Search,Conversion,1676.99,58760,3264,355.9,284.1,31927.84,18518.14
2025-06-11,C001,Google Search - High Intent,Google Search,Conversion,1269.41,47536,2387,218.1,196.3,21915.29,12710.87
2025-06-12,C001,Google Search - High Intent,Google Search,Conversion,1380.48,52437,2011,197.1,164.7,20237.28,11737.62
2025-06-13,C001,Google Search - High Intent,Google Search,Conversion,1596.18,54046,2627,220.6,185.5,18980.58,11008.74
2025-06-14,C001,Google Search - High Intent,Google Search,Conversion,1495.02,55009,2835,257.1,238.4,24715.52,14335.0
2025-06-15,C001,Google Search - High Intent,Google Search,Conversion,1139.85,42134,2178,193.7,168.4,18384.18,10662.82
2025-06-16,C001,Google Search - High Intent,Google Search,Conversion,1215.76,41136,2121,187.5,168.8,16985.56,9851.63
2025-06-17,C001,Google Search - High Intent,Google Search,Conversion,1601.59,58559,2650,298.4,267.5,32441.19,18815.89
2025-06-18,C001,Google Search - High Intent,Google Search,Conversion,1631.02,55982,2542,244.3,215.6,23534.61,13650.07
2025-06-19,C001,Google Search - High Intent,Google Search,Conversion,1606.04,51460,2370,174.7,156.6,15937.27,9243.62
2025-06-20,C001,Google Search - High Intent,Google Search,Conversion,1631.28,57499,2770,220.8,178.0,19673.02,11410.35
2025-06-21,C001,Google Search - High Intent,Google Search,Conversion,1359.79,45827,2485,205.7,187.0,17942.15,10406.45
2025-06-22,C001,Google Search - High Intent,Google Search,Conversion,1144.38,40094,1874,182.5,175.4,17763.13,10302.61
2025-06-23,C001,Google Search - High Intent,Google Search,Conversion,1405.49,47348,2345,210.5,193.1,20148.71,11686.25
2025-06-24,C001,Google Search - High Intent,Google Search,Conversion,1779.73,56432,2582,259.5,224.4,23566.23,13668.41
2025-06-25,C001,Google Search - High Intent,Google Search,Conversion,1588.0,52208,2480,291.2,271.4,25871.11,15005.24
2025-06-26,C001,Google Search - High Intent,Google Search,Conversion,1394.8,48619,2501,212.0,180.2,21649.25,12556.57
2025-06-27,C001,Google Search - High Intent,Google Search,Conversion,1625.77,56775,2413,190.1,161.6,15614.0,9056.12
2025-06-28,C001,Google Search - High Intent,Google Search,Conversion,1102.56,37916,1861,206.4,192.6,18278.49,10601.52
2025-06-29,C001,Google Search - High Intent,Google Search,Conversion,1468.72,56228,2471,206.7,180.9,17735.84,10286.79
2025-01-01,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1447.99,52225,1702,103.6,84.0,9226.56,5074.61
2025-01-02,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1147.78,47215,1883,95.1,78.0,7960.96,4378.53
2025-01-03,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1004.05,42393,1406,82.5,70.4,7438.98,4091.44
2025-01-04,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,909.38,42824,1898,102.6,85.4,10759.44,5917.69
2025-01-05,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1226.35,47588,1748,107.1,85.5,9283.73,5106.05
2025-01-06,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1239.23,53995,1875,112.3,86.7,9844.71,5414.59
2025-01-07,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1434.91,59143,2338,151.7,127.6,13690.6,7529.83
2025-01-08,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1247.36,51578,1806,121.9,94.7,11782.59,6480.42
2025-01-09,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1411.98,56248,1938,113.3,93.6,9480.84,5214.46
2025-01-10,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1186.07,47155,1384,80.5,59.7,7060.41,3883.22
2025-01-11,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1161.22,50302,1605,93.1,83.4,8374.57,4606.01
2025-01-12,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,936.0,37824,1497,119.7,104.7,10638.61,5851.23
2025-01-13,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,979.03,42332,1442,81.2,66.7,6683.8,3676.09
2025-01-14,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1075.61,45076,2003,115.1,93.8,10013.32,5507.33
2025-01-15,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1427.72,63344,2182,125.7,95.0,10370.24,5703.63
2025-01-16,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1057.29,44175,1451,87.5,71.8,7974.24,4385.83
2025-01-17,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1075.52,44145,1349,75.2,66.9,5680.16,3124.09
2025-01-18,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1000.5,42239,1470,84.8,69.4,7463.08,4104.7
2025-01-19,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1037.26,38614,1372,78.8,62.9,7044.19,3874.31
2025-01-20,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1343.64,59080,2034,139.6,121.4,13298.44,7314.14
2025-01-21,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1343.7,55500,1967,133.6,102.3,11933.56,6563.46
2025-01-22,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1442.26,58779,1809,103.5,84.8,9695.43,5332.49
2025-01-23,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1101.52,45676,1617,93.1,77.9,8049.49,4427.22
2025-01-24,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,981.03,45406,1630,87.8,69.0,6975.47,3836.51
2025-01-25,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,904.48,40757,1497,80.5,68.2,7734.58,4254.02
2025-01-26,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1251.92,50090,1749,112.6,95.3,10763.31,5919.82
2025-01-27,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1247.85,55827,2272,151.8,115.3,13240.32,7282.18
2025-01-28,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1364.81,55575,2172,131.1,102.6,12759.77,7017.87
2025-01-29,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1325.79,55973,2190,152.4,127.1,11290.46,6209.75
2025-01-30,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1239.05,50232,1655,105.6,91.9,8984.23,4941.33
2025-01-31,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1289.49,60681,2098,116.0,96.3,10516.83,5784.25
2025-02-01,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1102.29,48160,1659,102.9,85.1,9556.05,5255.83
2025-02-02,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1145.5,48685,1738,156.8,124.1,15197.81,8358.8
2025-02-03,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1052.34,43515,1672,124.3,108.6,11193.37,6156.36
2025-02-04,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1380.14,55680,2099,151.2,133.0,13704.53,7537.49
2025-02-05,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1276.07,58235,2128,124.7,96.4,9924.19,5458.31
2025-02-06,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1351.71,53529,2153,155.2,138.7,14654.38,8059.91
2025-02-07,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1310.53,53954,1957,135.4,108.2,11892.31,6540.77
2025-02-08,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1011.76,38064,1403,87.1,72.1,8129.31,4471.12
2025-02-09,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1035.89,45211,1411,107.1,85.3,9849.04,5416.97
2025-02-10,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,950.26,33905,1140,79.3,70.3,7117.21,3914.47
2025-02-11,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1417.95,54280,2223,181.1,148.7,15691.74,8630.46
2025-02-12,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1073.19,47150,2165,158.1,138.1,14455.2,7950.36
2025-02-13,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1337.37,60377,1945,129.5,107.7,12122.77,6667.53
2025-02-14,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1122.14,47854,1609,96.2,79.1,8051.19,4428.16
2025-02-15,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1205.34,46549,1603,90.6,69.4,7110.19,3910.6
2025-02-16,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1137.32,48563,2094,122.6,97.2,11501.58,6325.87
2025-02-17,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1106.62,45213,1898,124.8,96.6,10014.57,5508.01
2025-02-18,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1313.38,55736,1773,109.3,92.0,10013.05,5507.18
2025-02-19,C002,Google Shopping - Best Sellers,Google Shopping,Conversion,1103.03,47708,1808,102.9,83.1,9320.02,5126.01
